评论内容,观点词
"没有想像中的那么好,剃得不是很干净。",一般吧
好吧~我看过真人版...买错了~~~~,好吧~我看过真人版
"内容大家都知道了,但是这本书的印刷质量不是很好。",jane austen
"这书不错,看了些,里面有些口语化的,类似黑人英语的,挺有意思。",不错
"不错的产品,可能充电有点慢。",支持飞毛腿
"杜拉拉的故事告诉我,优秀职场人生智慧:既做好事又做好人。",启示
"书名不错,内容真的很一般","书名不错,内容真的很一般"
"读这本书,就象在品一杯茶,有苦有甘也有一股涩味!",好书!
"还可以吧,线控mic什么的跟苹果一样都能用,价格是1/3多点,音效还行,就图个便宜省心。","还可以,跟苹果差不多"
"没想到动作还挺快,第二天就拿到了。我很高兴,感谢卓越!",致谢
"哲理的书教我以哲理的思想,很感谢这本书教我以辩证的思维看待事物,感恩于世界,发现世界的美",苏菲的世界
那猴子很无聊……笑话很冷。内容倒是很好!,冷笑话……
"褒之:   金钱观有教育价值。   被动收入理念有现实指导意义。 贬之:   这位仁兄靠房产低买高卖获高利。   利用信息不对称,助他人将房产低价卖给他。 以下内容可以不看! 还有:这位仁兄给出的致富点子有的滑稽、有的不合法、有的完全有害,居然还包括唆使人们进行内幕交易、提倡以极低或零首付购买多个不动产,还告诉读者他们能够通过无资金经纪账户购买股票获利。","褒之,同时贬之"
"还可以,但没看完",还可以
不太结实设计不合理.,不太结实设计不合理
"很不错的一本书,儿子非常喜欢",很不错的书
"书中所提到的儿童常见问题很多,也一一讲解。但总感觉方法写的很模糊,实用性不强。所以没有太大把握,还是不敢轻易给孩子按摩。",还行
"语言平实,娓娓道来,使人心静。",不错
"字体大,看着舒服。分量轻,拿着也很舒服。遗憾的是页边的空白略微少了些,显得有些局促。但瑕不掩瑜啊。喜欢。我同时还买了潘庆舲的译本,还没认真看,但仅从目录和全书第一段的译文中看,应该比徐迟的译本要好。",好书
"不错,物有所值,小家伙每天要看这书。","不错,小孩很喜欢!"
"朋友推荐买的,希望看了有用",朋友推荐的
闻一多先生对唐诗确实有一番独到又振奋人心的见解,好书
"宝宝九个月开始看的这本书,里面内容还挺丰富。特别有趣的是宝宝洗澡玩的小鸭子正好和书里拉拉的一模一样,她喜欢极了。现在能清楚地指出哪里是拉拉的杯子哪里是拉拉的遥控器,最喜欢的当然要数西瓜了,一把把它拉开了,哈哈!别的网站有本拉拉的家(二),希望你们也能进货回来。",关于拉拉布书
"封面不错,内容也还可以",还可以
"锅非常好,压力很强大、物流非常给力!!!!",锅是正品!!!百分之百
"精装的就是有感觉,不愧为古典",不错
"看到最后,谜底揭开后,深深感动",震撼了
"该书还不错,值得购买!",简单明了受益不少
"中文翻译功力不够,翻译之后的中文,水平也就初中生,就是一本流水账。不否定原版的内容。",翻译不行
"就是盒子有裂缝了,其他都不错",不错
"还好了,用故事的形式讲解储蓄,投资等等理财方面 看完有点担心自己的养老 但是还是稍显单薄",在故事中讲述
"除了封面略有一片颜色发黄外,内容和书的质量都很好,赞一个!","很不错,物美价廉"
"六折的时候掂量买不买。 因为已经有英文本了,所以总想等等看。 结果过几天就贵了。 现在只好观望了,因为 只要曾经便宜过 就很难买贵的。 哎,有点后悔,呵呵。",痛失良机
"以前用的是雷登的,两个用了几年都是同一个问题,调节音量的旋钮坏了,给母亲晨练用的,邮寄过来的时候包装很专业,唱机的外观没的说,很漂亮,音质也不错,但是两侧的调节FM  AM 和CD/磁带/收音机的按钮拨起来不是很清晰,另外调节 广播的旋钮有点过于灵敏了,调台要很仔细调,那个显示屏好像只有播放CD才有用。对得起这个价位了,值得拥有。",给母亲晨练用的
"书在质量上没有问题,内容上还没读完。",好
电池电力持久 不错  很喜欢  包装很漂亮  但是不知道为什么比亚马逊直营的贵了点  大概是运费吧 从上海运来 呵呵  很满意 值得购进,不错的电池
"卓越原来就是主要从事书籍的销售的,肯定比较擅长这方面。我是给朋友买的,到货很准时,但我没有看到过书。",为朋友买的
书是正版的 很喜欢附赠的8个阿狸图像,很不错
"感觉一般般,没特别的效果哦。",没大家说的那么神
"书内容是好的,但由于我买的版本价钱太低,里面有错别字,所以下次还是卖贵点的。不能贪便宜哦!",一般
"初看一般,细看的时候觉得有些味道。",作为杂文阅读还不错
整体还行 但是说实话低音确实不足.有待提高.,整体还行
"让人感到异常的书,爱的力量。",非常感人的书
"充电器很好,包装是如果拆开就不可恢复的!很好,就是价太贵了!",价太高了!
没有想象中讲的那么透彻,书还可以
"相当的好啊!里面的信息很全面,我觉得每个对德国热爱或是想去德国留学的人都应该买这本书。最让我高兴的是,里面的地图既有德文又有中文,很赞!",很好
"内容挺多的,感觉也挺好的,就是没试过好不好用",不错
"虽然书的装帧简单了点,但不影响质量,内容很美,字大小合适,推荐给孩子们!",一本好书!
"太琐碎,还将就,可以学习描述用语。 本来想买中文版,看见评论和网络上的搜索之后,改变主意,减少被人误导的机会;请看中文版的评论。 ---终于看完了,用了约八个月时间,对一些一些的东西比较清楚了,不愧是用了十年来出的书。 向作者致敬:我以为至少又接近事实真相一点儿。 建议购买此书而不是中文书,因为英文只有高中水平的就可以读懂,词汇总体很简单,不难。","收获太多,一言难尽,很喜欢这种风格书籍。"
"超市里面卖[…],我比较了一下,好像是一样的。",划算
"性价比很高的哦,正品,很轻用着很不错,赞一个",红双喜羽球拍
很好用很方便!使用频率很高。,很好用很方便!
"介绍的很神奇,还没按上面说的试过,希望有用吧",很神奇
"由浅入深写的很细致,也很实用。给人启发和认同感。我是很喜欢的!",很不错噢!
天啊!原来是手掌读本,吃惊
装帧什么的都挺好。 内容比中文版详细。,还是英文原版好。
"宝贝的质量不错,孩子很喜欢",不错
"要不是汽车USB插口不兼容摩托的也不会买,做工精细好用,就是没有优惠!下次有需要还选亚马逊",实用
"质量挺好,正版的,孩子学习的好教材",孩子学琴的好辅助书
"本以为有一些实际可操作的内容,但看内容粗浅不堪,对创业者一点实际帮助都没有。看似都写了,实际都没用。估计是攒的内容,作者水平不敢恭维。虽5.2入手,但感觉亏了,晕",一点技术含量都没有
"蛮好用的,价格也合适",PHILIPS飞利浦GC1960/22蒸汽电熨斗
"邢义田先生是台湾最好的画像石研究学者,学贯中西。好书","好书,画像石研究方面,台湾最好的书"
"一看是看觉得还行,后来还是落入了故弄玄虚的俗套。用了一种我不喜欢的方式。",故弄玄虚
"包装很好,精装硬壳,",书的质量不错
这本真没什么内容。不好看。比上一本差多了~!!!,坑爹
"好用,不专卖店便宜,而且很实惠",还是蛮实惠的
"内容原汁原味,好书,推荐",好版本
"如题。不喜欢这本书的原因是:这是从林语堂的英文版本再翻译过来的,这差的就不是一点点的。读起来总是感觉很别扭。 本来是喜欢武则天才来看这本书的,现在反而失去了研究武则天的兴趣了。","虽然喜欢林语堂,但是这本书实在不敢恭维。"
"很好,很实用.内容很实在",很实在
"语法释义清晰,不错。",不错
"华图的教材非常好,内容说的都很细致,方法和技巧也都说的非常好,可以带给你全方位的思维方式,我身边的准备考公务员的朋友们都买的华图的书,还有的在考试中都取得很好的成绩,建议大家都买回去学习学习,相信你们会很受用的。",给力华图
"比想象中的薄,纸质也不是很好",期望与现实有落差
"觉得还不错,就是讲解很少",总体还可以
"東西看著是角質的,器件也全了算。配有一本刮痧的療法介紹,小冊子,“有點文化的”夠用了。但請自己掌握,醫學問題本人不負責評論。 配的刮痧油和乳膏,保質期三年,可整盒產品是2010年3月31日出廠的,也就說,這兩樣就要到期了,而且乳膏無生產日期!拿來秒殺?卓越亞麻遜,你厚道嗎?156元秒的,性價比不怎麼樣。",就那麼回事
还好吧 读故事 背单词 不错,读故事 背单词 不错
"字稍微有点小,但很清晰,书整体质量不错",不错
"立题精妙而重要,折射深远而意义重大。爱不释手,一口气读完。",经典好书
"很温和,瓶子的设计也很不错,价格便宜,以后在买","很好啊,温和不刺激。"
"我非常喜欢此书!在此之前,我读过中文版本的书,但是没有原版书词汇丰富!因此我觉得喜欢英语的人(包括少量学习法语的人)去看看此书.因为里面有大量的词汇以及少量的法语词汇!",这本书不错!
物超所值。我非常喜欢。可以,物有所值
"总体感觉都还不错,值得买!但有一点设计得不是太好,虽然有扩展卡的功能,但安装了扩展卡后,所有视频、下载等文件不能自动存入扩展卡而是存入内存,导致扩展卡只作为摆设,没什么用处。",外观和性能都很不错
"饭盒的盖子拧不紧导致漏油,不好用。",用后感
"我上周四定的这周五才收到,早知道去其他网上买了,对卓越印象差爆了,送了8天才来,这本冲刺看个8天估计也差不多了,再不送来我就要去考场看了,客服态度还不错,就是态度好有什么用,什么问题都解决不了,北京到上海送了8天,看记录这本书在上海呆了三天才到我手里,中间还插曲和我说书掉了,结果有找到了帮我送来,我买本书而已,能不要让我操那么大的心吗!!!!!!再也不想在卓越是买东西了,这个速度,龟速~!!!!!!!书还么看,就是看评论说比较薄才买的,唉结果还不如我看看厚的那",书送的太慢了
"一般,没想象中好用,还行吧",一般
"动作很简单,很多动作上体育课时都有做过。如果单是为了拉伸,会做几个拉伸动作就好,没必要买书,因为有很多动作我们未必用到。",还好
"效果是一塌糊涂,完全没有产品介绍里面说得好,有点失望,不值二十多块钱",太一般
"一本典型的外国人以第三者的身份写的一本关于亚洲的书,客观度够了就是不知道对日本深刻理解够不够",就是喜欢收集书
就是包装保护的不到位,总体还可以
"便宜,好看,大方,美丽",比图片还要漂亮
"很方便,是售后统一安装,比商场便宜很多。",很好
"啥时有货啊?经不少人推荐,想看看这部重要的作品",啥时有货啊?
"一个可以因自己的思想而发疯的哲学家,思想很深刻,抵抗力强的可以读读他得作品。文笔一流,但很费解。",尼采的代表作
"看着还可以,图片比较清晰",还可以
"玻璃瓶有厚度,比好孩子的要好,如果再附一个大一点的奶嘴就更好了",东西不错
"跟书店的一样,还便宜,全新的书,还用塑料袋单独包装,孩子很喜欢的",挺好的
"书的质量非常好,买来给宝宝做胎教的,我每天听老公读都很喜欢,加上它的色彩和拼音,以后宝宝长大了,还可以自己看。",不错
"在图书馆里看了第一部,,然后就放不下了,,呵呵,,就买了全套,,虽然不喜欢历史,但是也爱看了,,我觉得受益匪浅呀",挺喜欢的
书真不错  估计是我英语太差 做起来要查很久单词 内容还好 挺不错的,书不错 快递也好
"便宜是便宜就是买来时候屏幕有两点亮点,问了鸭吗的客服她说有三点亮点属于正常的,后盖也很松,上次在乎这里买的酷派8180也是后盖盖不紧,触屏里面很的的缝隙,感觉亚马逊经常拿修过的手机发货给别人,这美国佬黑死磕了,以后还是少来这买了,还是去我们国内的京东去买吧,信誉好,不像这些外企,不把中国客户当人看,就想苹果",U807
"颜色很漂亮,可惜的是有好几处有磨损,宅急送的物流真不如华讯的物流小心仔细,同时下单的华讯物流的两格跟三格的门柜就很好",空间大师
"挺不错的,内容没有前几本的好,但却是慢慢的回忆与遐想,有很多也是我们幻想过的事情",还行
"这个版本不错,字体大,纸张也不算薄。比较了好多版本的,这个性价比很好了。",性价比高
"今天在苏宁买900时,有一人买了一台510,凑热闹试了一下,界面流畅度和900差不多,但开/关程序时和安卓差不多,和900有明显差距,外型时尚,尤其是黄色,挺漂亮的,这个价位还是给力的",性价比可以
"内容先不说,看了很疲劳,但是纸张确实很一般,泛黄不说,还挺粗糙,大概是赶着莫言热,不愁卖,随便选的纸张,透着一股盗版书籍的味道。看过之前的版本和印刷,感觉好多了。",纸张比较山寨
"非常好的一本书,补充了我对心算的的弱点",非常好
"比较实用,学习方便多了。",挺好的。
"本书涉及内容不限于当代西方文艺理论,整体上内容驳杂,枝枝蔓蔓,有凑字数之嫌,语言较为晦涩,言多意少。慎重购买。","内容驳杂,语言晦涩,不推荐购买"
U盘大小:小拇指般大小 传输速度:都还不错 总体:很时尚 很漂亮,小巧 快速
"这本书这次是细读,尤其是在现在自然环境,大气污染这么严重的环境下再看,另有一番感受。","全书已经仔细看完,不错,对我影响很大"
"书的质量不错。纸张、字体之类的都很好。 想说的就是,罗兰·巴特不是一个好懂的人。所以,看了又看。希望早点明白他说什么吧。 不过,符号学,还是受益匪浅。",罗兰·巴特不是一个好懂的人
真比百脑汇还便宜。。并且是正品。用着非常开心~~~~~,亚马逊太给力了。。。
挺好的一本书~同学买来天天放在床头~,好书
"货收到两天了,感觉很不错,比较稠,味道蛮好的","第三次购买了,不错"
这款书真的很不错 一些我期待的都有了  阅读成绩也有一些提升,看书报告
"厚厚的一本,拿在手里,很有质感。字体印刷较清晰,只是还是有点小。如果银子很多的话,建议还是购买人民文学出版社的版本。",很好
纸质很好 内容也好!,喜欢!
"还没看,感觉还可以。",很不错
"外表很亮丽,时间走的也很准时!!!","外表不错,时间准时"
"经常关注亚马逊,毕竟是大牌,商品性价比算是很公道。看到NIKOND90搞促销,即拍下。深圳银捷很给力,今天非常顺利收到货。D90箱有NIKON封条,机器全新,4月份生产,卡码三样一致。当我忘记随机拍下赠品(膜和三脚架)后,联系客服(女),该客服让我再拍下该赠品,她再修改金额为零,再发给我。在此表扬亚马逊的诚信经营和他们的客服。",亚马孙服务太好了
"很好,我想买一本适合六级左右的单词书,不知道那个好",朗文外研社新概念英语1(新版)
"继玛丽亚凯莉和惠特妮休斯顿2001年的Greatest Hits精选集被SONY唱片炒冷饭改头换面成“灰色系”封面的The Essential精选集后,席琳迪翁2009年出版的My Love精选集也被SONY出版了这么一张The Essential精选集,不过比较幸运的是,美国版是直接把国际版27曲的My Love改成了The Essential,国际版的The Essential则是采用的加拿大版36曲的My Love,所以我们的引进版的My Love和The Essential并不完全重复,两张精选集的几首相同歌曲还其实是不同的剪辑版本,把这两张精选集都买了,基本上席琳迪翁的最热门最经典的歌曲就齐全了。",经典的精选集
"送货很快,包装完好整齐,第一次做水有塑料味,看其他人的评论说很正常的",感觉还可以
"等了一个多月,总算买齐了,版本没的说,比其他版本都好,印刷也相当不错,值!!!",非常好
这本书感觉内容没有我想象的那么全 不过还好!  用处也还行!,有点小失望
果然是押题考卷 很全面,好
内容还好 字体大小适宜 底下有注解 当然 内容是古文的 就是送来的时候书的封面有点弄脏了T T 价格当然是还好啦 封面也很素雅 纸张也还好吧  感觉华夏的这一类古文书都挺便宜的,还好
是七单本一套~ 大小适合~ 还蛮符合需求的~,还不错~
因为考试需要才买。不过这本书跟其他同类的金融书相比有点偏难。,有点难
"手感外观材质都非常好,物有所值",国货精品
"抱歉评价较晚,非常好。",图书
"十月初买的,感觉太贵了!可是要组装,硬着头皮买的。感觉,我也不知道。还好吧,能用!呵呵~算是电脑小白吧。那个正品验证那个,我发了好几条短信过去,结果,都是一些错误信息。难免让我产生点怀疑,这个金士顿,是不是正品???",好贵呀!!!
"看完了,书很棒,纸也轻",不错的
故事描绘得不错。。画风是大爱,故事描绘得不错。。画风是大爱
"包装保护不错,书非常好。准备阅读。","包装保护不错,书非常好。"
封面很帅气!喜欢~!,帅气!
"小巧,出气量感觉还是很大,气喷不了太高,送货阿姨速度很快啊",宝贝还不错哈
"陈老师在百科全说上的内容基本都有涉及,这种系统性的汇总很好 避免了我们天天拿笔记找啊找。",做饭做到点上。。
"一本很实用的初级教材,使用好多年了",实用
"虽然还没看过,但是翻过几页纸张的质量不错,而且封面很厚实,性价比很高,继续支持亚马逊!","很厚实,喜欢"
"写的东西值得借鉴,就是内容太少",还不错
"总的来说挺值这个价钱了,包装看着比较有感觉。",挺好的
"功能实用且多,样式美观,收看节目清晰,很满意","样子大气,实用"
"这本书不同于同题材的别的书,这本书故事吸引人,具有极强的文学底蕴,人物刻画的无可挑剔,是本好书。同时封面设计的也很好。",值得一看
"和人民邮电版的比较了一下,感觉经科版的教材和同步辅导(注:不是原版翻译的练习册)比人民邮电的更贴近考试,更实用!推荐!",经科版的BEC同步辅导真不错
"书的内容比较专业,不过条理清晰",新闻理论
"画面的确有大家的手笔啊,太乱了",有点失望
"宝贝收到,买家的快递很有爱心,支持",赞
"包装很好,快递速度也很快,书没有破损。 小说写得很真实~",纪实性小说
"内容丰富,从金融的角度介绍了中国,很好",很好
"对不同层级尤其是英语基础薄弱的人来说,此书可使你有较快提高.",此书有帮助
"很有乐趣的一本书,观点新颖让人耳目一新,也让人放松开心!",很好
"内容不错,大的逻辑和原则都讲述的很清楚,但是还是不够深入,也许在系列里的其他卷上吧。",简评
"在家乐福看到69.9,坐坐,很舒服,在沃尔玛看看,69.非常喜欢,回来就在卓越下单,49,省下20大洋,还直接送到门上,喜欢。",其实挺不错
"很实用,了解一下这些很有帮助",不错
"拿到书就迫不及待地翻看起来,的确是一本好书。作者发自内心的感受,突破自我的勇气,敢于尝试的实践令人佩服。",久违的感觉
"书到得很快,卓越的效率很高。此书在去年就一直关注,因为是七年再版,在纠结买几年前那绿色素净的那一版本还是此版。后来想想,被再版的海报和明信片诱惑了。这本书不知看了多少遍,的确是经典,九年前是,九年后亦如是。其中的一个小小书签和四张明信片还有一张海报都很唯美。此书多了番外,出现了何照这个可爱的孩子,他们的故事已经完整了。平日多喜散文,较少买小说类,这一本经典十分值得买!",值得收藏的纸书
"居然没有“声容部”!!!!!!!!! 闲情偶寄就这一章最好看,但是不知道为什么居然删掉了!!! 而且,在封二上还印了 声容部 在上面,这不是存心让人郁闷嘛! 想买完整版的,还是不要买这本了,虽然印刷和翻译都还不错,开本和纸张也舒服。 如果你要删,你可以删掉讲吃的 饮馔部——因为这个在该出版社的《食经》里有了,却莫名其妙删了 声容部 这个最体现李渔审美趣味和词曲功力的段子,非常不爽。 选姿第一   “食色,性也。”“不知子都之姣者,无目者也。”古之大贤择言而发,其所以不拂人情,而数为是论者,以性所原有,不能强之使无耳。人有美妻美妾而我好之,是谓拂人之性;好之不惟损德,且以杀身。我有美妻美妾而我好之,是还吾性中所有,圣人复起,亦得我心之同然,非失德也。孔子云:“素富贵,行乎富贵。”人处得为之地,不买一二姬妾自娱,是素富贵而行乎贫贱矣。王道本乎人情,焉用此矫清矫俭者为哉?但有狮吼在堂,则应借此藏拙,不则好之实所以恶之,怜之适足以杀之,不得以红颜薄命借口,而为代天行罚之忍人也。予一介寒生,终身落魄,非止国色难亲,天香未遇,即强颜陋质之妇,能见几人,而敢谬次音容,侈谈歌舞,贻笑于眠花藉柳之人哉!然而缘虽不偶,兴则颇佳,事虽未经,理实易谙,想当然之妙境,较身醉温柔乡者倍觉有情。如其不信,但以往事验之。楚襄王,人主也。六宫窈窕,充塞内庭,握雨携云,何事不有?而千古以下,不闻传其实事,止有阳台一梦,脍炙人口。阳台今落何处?神女家在何方?朝为行云,暮为行雨,毕竟是何情状?岂有踪迹可考,实事可缕陈乎?皆幻境也。幻境之妙,十倍于真,故千古传之。能以十倍于真之事,谱而为法,未有不入闲情三昧者。凡读是书之人,欲考所学之从来,则请以楚国阳台之事对。 http://hi.baidu.com/luxifdcl/blog/item/c30948330e9234f91b4cff26.html 声容部全文地址,大家可以看看。",大大大的缺陷!!!!!!!
"第一次在这里买书,是正品,纸质不错,比较满意,有需要以后还会光顾的。",正品很喜欢
"又降价了。前几天99.1时候买的,今天上来一看90.7了。大概一年多之前这套史记曾经降到过6折80多元的价格,那个时候错过了,之后一直等一直等,盼着再降到6折,可是等了一年多也没降到,实在忍不住了,一看是百元以下就出手了。 书是好书,繁体竖排,三家注,很喜欢。纸张虽薄,不过个人觉得也没太差。 不知道明天价格是继续下降、还是再涨回去。卓越的价有时变得太快,说不定吃顿饭的功夫回来价格就又变了。","好书,又降价了"
"百盛卖360米。。。。经鉴定此商品有CIQ标志,有白色标签是正品。不过话说速度好快啊,昨天晚上订的今天中午就到了。",很赞
"还行吧,印刷质量一般","还行吧,印刷质量一般"
"翻译不尽人意,纸质也一般,不过朋友看了介绍,很想看看这本书,就买了",在自己路上
"整体来说还是不错的,做培训用","整体来说还是不错的,做培训用"
"这是我买到的考研最理想的书,挺",考研必买
"还没仔细看,但感觉不错",不错
"商品很不错,之前我都没使用剃须刀,一直就用的剪刀,今天到手后,试了一下很好、不错",商品很不错
"相信这本书大家都不陌生,经典作品啊。纸张还可以,就是书中没有相关的注释,初学者怕看不懂。",经典作品
"有单独冷风档,刚刚拆封试了一下,有点味道,不知道以后会怎么样",可以
"印刷很好,正品书。信任卓越,买过很多书了。","正品,很好"
"是一本诗集加画册,因为对这两样都是门外汉,不敢妄加评论,貌似不错!还是更喜欢他的文章。",不错
"内容很有吸引力啊,建议购买",很好的读物
"这牌子质量应该可以额,整体运行完好,","一次点亮。,运行一星期没什么问题"
国产 越来越好了 赞一个 国产 越来越好了 赞一个 国产 越来越好了 赞一个  你懂的,国产 越来越好了 赞一个
"很漂亮的书,一直是我想要的,礼物也不错啊",小礼物很喜欢啊
"我是个德语初学者,刚开始的时候我使用了《大学德语》那本书对于语法方面就比较系统,而现在的这本《新标准》感觉比较贴近生活。句子都是些短句,不太难,也比较适合自学。","很实用的一本书,适合初学者"
"这款mini路由器真是“强大”无比,按说明书完全设置,无线连接显示已连接,指示标志却仍然是一个大大的感叹号,败给她了,笔记本,手机,ipad无一能连接上,设置程序复杂之极不说,无法连接上还需要评测吗?",“强大”无比
"我前一星期买是要7.7,现在立马半价销售。真是坑爹,不过本身书价就很低,以为是薄薄一本。没想到质感不错,不用注释,已经不能再翻译的白话文,真心不错。",物美价廉
"左右音量差很大,不调一下音量平衡就用不成,唉……",左右音量差很大
"味道很好,泡泡丰富,物流超快。",经典
"当时学校BBS上发起了推荐好书的活动,就有人推荐了这本.后来在学校图书馆找到了两本,另外一本同名的是日本的小说,看完两本,觉得这本更胜一筹,人心的险恶,生活的无奈,淋漓尽致.",引人入胜
"在老师的推荐下,买了这本书。 不知道是不是年龄的关系(十八岁) 并不是很能够理解这本书到底想表述些什么 书里。 一开始是好几页的描写。 有些烦人,我给跳过去了。",旧上海
"很好!价钱合适,孩子说挺好的。",赞
"用最少的文字,传达最丰富的信息,同时还不显得杂乱无章,只有大师才能做到这点。大多数作品呈现出的往往是纵向上的时间延伸,如同线一般;而这部作品更像是一张网,包罗万象,从一个最简单的故事入手,却牵引出了数段纷繁复杂的经历。此外,书中还涉及了诸多小说创作方面的见解与理论,读过之后让人受益匪浅。",好小说的典范
"还可以,现在还在用,一年了 ,才来评论 呵呵","还可以,现在还在用,一年了 ,才来评论 呵呵"
"印刷清晰,送货快,推荐~",很好
"基本上没有味道,按照说明书拼装也很简单。但比想象中小些,当置物架合适,当落地架稍微小点。","可以,但比想象中的小"
"很好,非常非常喜欢!","很好,非常非常喜欢!"
"非常好,速度也快,值!!!",值
"是和多肉植物一起买的,有空就看看。但都是种类多,介绍不够详细。可能我要求太高。","很丰富,不错。"
"比较便宜,质量也好",很好
"想看漫画的不要选这一本,画面,内容太简单。。适合小学生",还好
"卡很便宜,速度一般吧,读15M左右","卡很便宜,速度一般吧,读15M左右"
"非常满意,物美价廉,支持亚马逊",ZTE 中兴 V965 3G手机(白色)WCDMA/GSM 双卡双待 四核1.2Ghz处理器 4.5英寸屏 Android 4.1系统
"内容不深,比较浅显易懂,更适合刚接触相机的朋友们。",对初学者有帮助的一本书
"本来是给小侄儿买的,不过刚拿到手,我翻了两页,就被吸引了,很喜欢,一口气读完了,非常不错的一本书,读完有很多感悟!",非常喜欢的一本书
"看到这本书三五折原本是不敢相信,下单后一直不对质量抱什么期待! 没想到纸质,印刷都很好,简直惊喜!!!",惊喜啊!
"内容是不用另外评论了,分开两册装,拿起来比较方便。",内容和装订质量都不错
"风力和声音感觉比我原来飞利浦那个价格段那款好些,性价比不错!",panasonic 松下 EH-ND41-P 电吹风
"机子性能不错,送货也很快,就是没装系统,自己装了半天才搞定",总体还是很不错的
"好,不错的,给宝宝换尿布时,很方便",挺好的
"外形小巧,用得也不错",HP 打印机
"超级好看啊~就是有点少,很快就看完了...回味无穷啊o(∩_∩)o...",好看吖~
动词大慈起来还是很爽的,"不错,低音炮很给力"
"这本书里介绍的品种基本都算挺大众化的,妈妈很喜欢,这些天天天跟着书学呢~",妈妈很喜欢的一本书
"很好,我看了很多,感觉很有启发。",很好
adobe 公司的经典教程 简单易懂,很实用
"非常好的书,包装也很好,一直很喜欢简祯的文字",很好
"此注本採用正體字排版,是我所喜歡的 讀古文必定要正體字方能顯出其原意 再者又是大家所注 更顯其價值 很好的書",通俗而經典
"非常好的一本书,脉络清晰,能对精神分析的发展有个了解",很好
不知道是哪个环节的差错,书封面陈旧、破损
"非营利组织概论老师推荐的书,很好,很有价值。",每个人都行动
不错。  。。。,好
"崭新的书,很干净,喜欢~~~",好
暖小团的名字就是保障!,暖小团
"质量相当好,比书店的便宜的多",质量相当好
"不错,IPHONE不必可少!",品胜
"给朋友买的,大家都买这个,还行",还行
"实体店卖800,这里400多,做工超好。但是龙头的出水方向倾斜有些大,角度不太好。还是推荐给大家。",龙头超好。
"先说好的,送货挺快,价格不错,硬盘全新没开封。 下面,开始分别对卓越以及东芝进行抨击。 1、卓越:送货是挺快的,包装真心让我无语了,虽然有卓越特产的充气袋,但是,充气袋只包下面!!上面直接就是硬盘,君不知硬盘防震能力真心不行?!而且,更郁闷的是,同时买了一个笔记本散热器,感觉那29块的玩意包装都比这货好,卓越,让我拿什么爱你啊。 2、东芝:怪不得东芝移动硬盘价位真么低,真心便宜没好货,买过日立、三星、西数,这是我最闹心的一个硬盘了,打开包装插上USB,天哪,居然不亮!!!再三尝试,还是不亮!!!!!n次尝试后(电脑n个usb口都试过),总算知道问题所在,usb线全部插入的时候,全部插入居然不亮!!!!要拔出一点才能正常使用!!!上网查了下,这硬盘普遍存在这问题,就不骂卓越了,东芝,越做越2线。日电商下坡路也太快了吧,做的东西越来越不如棒子了。","在卓越买了不少东西,最闹心的一次,下面做一些详细评价"
"我是香水控,第一次在网上买香水,我很喜欢这款,为了看会不会买到假货,我专门去商场柜台买了一瓶正品,等到我的香水到了以后,我见到外包装心里就有底了,上面所有的标识和商场的都一样。但是我还是犯嘀咕,拿回家,取了两件质地一样的衣服,就是我和我老公的情侣装,我用两瓶香水分别喷在两件衣服上,我还认真的闻了前调,中调,尾调。让我震惊的是一模一样,我等到第二天早晨还又加以区别,一模一样! 都说网上买不到真的香水,但我真的买到了,好谢谢卖家! 附加一条,我做实验的时候,衣服是分别放在两个房间的,以免会串味。我是25号在专柜买的,30号我网购的到的,我31号去商场让卖香水的区别,他们都说是真的。呵呵 我不是什么专家,但是我的香水都是专柜买的,也买了很多,多多少少也有些经验。呵呵,我希望能帮到爱香水的你! 我之前看到有人在评论中说香水留香时间短,我想说一下,香水大概分两种一种是edt,大概意思是说淡香的,它的持香时间在3到5小时,还有一种edp,它指比浓香的,比如我用过的burberry brit迷情这款就是的,即使这样它的持香时间也就是六小时。还有很多知识,大家可以一起交流。此款香水为edt。前调为果香,中调为花香,尾调是白麝香和阿米香木。",我的忠恳评论
"很有感触,之前有阅读过一些关于禅学的书籍,看了之后又有了新提升,推荐给大家,这是一本可以伴我们读过一生的书!",超级喜欢这本书!
"我今年已经快30岁了。 以前买的版本是3块6一本的,好像是初中那会。 现在买的版本和以前的包装有点不同,有塑封皮包着,里面还有单色封面。 不知道是不是流行这样子。 虽然说不上好坏,但总和以前不同,未免感觉还是有点遗憾的感受。。 可能是念旧。 纸张挺厚的,这样子不会看到反面的图画。纸张质量一般,也算过的去。 总的来说,还是挺喜欢的。 想买大长篇,可惜没有了。 我记得是好像是6.7折买的,现在是5折,一下子差了30多块钱。。 不过现在无货,有价无市,哈哈。 同时买的三眼神童赚了,买的时候好像3折左右。才38好像。。现在5折。。",东西还不错
"买的书太多了,还没来得及看。但是就书的本身质量而言,还是非常不错的",质量不错
"还没看呢,不过应该不错",还没看
"介绍很详细,造型都很特别很可爱,很超值哦~",很不错噢~
"很好的一部书,我更喜欢书的前半部分。",满意
"开始看评论,很多人说不好,但是偶也没有其他选择。毕竟买过U盘,觉得hi行。果断买了。速度最高得到过15M/s。",蛮好!
"书写的很好的,田老的书没得说的。印刷质量不错。",五星
"好书,张老师的书很实用",财务报表分析(第2版)
"很不错啊,得要好好过几遍才行",很不错啊!
